item_index,asin
814,B00003Q42P
1142,B004X63SL0
941,B00007ELDF
605,630542845X
403,6304083149
1207,B00C2A4SYA
24,0780621956
374,6303995713
1319,B016P0GY76
766,B00002JWZT
718,B0000065U1
843,B00004X13Q
1006,B000BB1NUE
1276,B00P69WYIQ
152,6300247821
1152,B005HIBWU2
859,B00004Z4WR
464,6304380941
56,0788821075
271,6303269826
1147,B0052ZFYEK
786,B00003CXHG
924,B000065U3I
925,B000065V3X
556,6305164215
1205,B00BX8A918
1299,B00ZVBG3A4
1108,B002EAYDYI
1105,B002DY9KR0
789,B00003CXIF
1219,B00DYRNGQ6
1024,B000FO0AHO
90,0792836618
696,6305949638
998,B000A0GOH8
384,6304016859
555,630514415X
25,0780622383
334,6303696813
1088,B001HB1JZQ
507,6304681526
582,6305297525
1262,B00LXH2BL0
851,B00004Y2R4
62,0790729687
990,B0007Y08MY
257,6303124798
1184,B009B8YZ4Y
1037,B000K5FPNW
932,B00006FDCF
1240,B00I4CWITM
700,630595805X
596,6305426651
849,B00004XPPI
831,B00004TQF7
968,B0001MIQMG
199,6302206294
807,B00003CXO1
78,0790750414
256,6303114946
472,6304415346
125,5554452574
1316,B014LHPGX8
793,B00003CXJ4
796,B00003CXKA
568,6305240019
65,0790733226
432,630420065X
449,6304297912
845,B00004X13T
881,B000056VP3
1146,B0052SO010
72,0790740281
939,B00006ZXSK
473,6304416415
1004,B000AM6P2A
1075,B001AQMBDM
1300,B010DRM9D0
77,0790748193
677,6305826838
1330,B01CZAFLOC
447,630428540X
1279,B00PULRC0U
1167,B0077ERLCC
330,6303675387
66,0790733919
415,630414069X
1026,B000G6BLWE
1304,B0117Q3PMK
1110,B002KPINY8
306,6303486754
1104,B002DU39JE
103,0800141709
1340,B01FUYRKEE
1050,B000PHX5PK
347,6303909949
343,6303890458
267,6303212395
141,6300214338
959,B00009YXAU
82,0792143817
1013,B000E1JOXE
734,B00000IC9S
170,6301590740
1241,B00IF8PTVO
987,B0007QS22K
748,B00000JN2F
231,630279482X
323,6303637574
916,B00005OAZZ
54,0788812467
647,6305692688
127,6300158772
1090,B001LYRHSM
918,B00005QT9O
1081,B001EASNPY
1144,B0050FXDDQ
246,6303039456
1333,B01EFSORXS
282,6303347665
908,B00005KK3M
1172,B007LNBRKQ
169,6301586026
165,6301390725
60,0790729377
1197,B00B1LM77G
455,6304342462
590,6305368201
634,6305609764
1245,B00J2PQYYK
790,B00003CXIU
236,6302946387
400,6304078102
630,630560097X
190,6301976045
1264,B00MBNYMDU
936,B00006JMSM
1153,B005HK13P4
1096,B001UHOWX8
819,B00004CYR8
1308,B011MHCLJC
49,0783241313
497,6304602901
81,079079568X
177,630179513X
1099,B0025VLEMK
426,6304176287
1048,B000O76ZNU
61,0790729628
239,6302994071
719,B000006FFU
962,B0000TPA4C
1190,B00AKGG5PS
430,6304197632
1266,B00NMUCHNS
171,6301661710
589,6305365121
1162,B006FSRSFQ
1170,B007IU8Z2A
992,B00094ARJQ
585,6305308802
389,630402925X
961,B0000DZTIP
617,6305512043
35,0783226608
413,6304125941
243,6303027016
1282,B00R244DX2
59,0788860119
626,6305575762
910,B00005MM6T
1140,B004SIP8WU
722,B00000EZRQ
1080,B001DJ7PQE
1010,B000CDGVQW
826,B00004RYKP
38,0783227361
649,6305715831
67,0790733927
802,B00003CXMG
1029,B000HEVTKY
483,6304457359
858,B00004Z4WQ
214,6302482712
1124,B003UESJME
1338,B01F6EHOFS
142,6300214508
953,B000093NOT
873,B0000542C6
1133,B004EPYZTE
1149,B005710OGC
699,6305958041
620,6305537798
158,6301066162
754,B00000K3UU
601,6305428255
787,B00003CXI6
1045,B000MV8AEA
627,630557605X
63,0790732149
50,0783243499
639,6305657939
74,0790741644
6,0767803434
1293,B00WGUWDVG
52,0784013470
795,B00003CXJY
906,B00005K26B
670,6305810079
42,0783229747
1054,B000WGYMTM
1265,B00NB9ILGM
602,630542828X
1261,B00LVZJW4I
69,0790736527
587,6305353549
636,6305622825
167,6301505662
595,6305417830
43,078322995X
742,B00000J2KA
1191,B00AKGG8FA
757,B00001ZWTS
254,6303095216
635,6305616027
773,B000035Z3G
761,B000028U3R
1255,B00KIZY2QA
656,6305761213
533,6304981643
949,B00008AWQX
31,0783114729
804,B00003CXMV
382,630401323X
299,6303433766
249,6303046436
270,6303257372
1198,B00BC0JIW8
370,630398021X
880,B000056OCJ
1337,B01F57MY9W
509,6304697988
264,6303187196
687,630587493X
1055,B000X9LVQA
847,B00004XPPD
993,B00099ZIBS
890,B00005ALS2
1137,B004LV3VQE
1165,B0070EUHMU
1085,B001G7Q15O
1043,B000MDFTHE
1114,B002QZ2DPW
366,6303961703
612,6305475695
1102,B0027VW6ZW
1329,B01CQY68C6
327,6303651488
308,6303501281
1231,B00FYPI1W0
294,6303416403
1132,B004CWLRKY
145,6300214710
2,0767015525
58,078885996X
821,B00004R99N
760,B000022TSJ
740,B00000IQBP
153,6300250407
839,B00004UGAU
1272,B00O4ZC5A0
440,6304259093
453,6304311834
83,0792153189
1051,B000RXZIKW
149,6300216977
1309,B011MHCW50
1143,B004XC5LRI
1103,B002DH20QA
168,6301570723
404,6304089201
261,6303168345
903,B00005JMCW
135,6300185788
408,630410605X
1192,B00AN5LCXQ
102,0800111842
889,B00005ALS0
508,630469623X
262,6303168957
1206,B00C1AIMXE
1033,B000IONJHE
1307,B011MHBHPG
1056,B000XSKDMY
1066,B0015RRN7U
892,B00005ATQJ
619,6305526079
871,B000053W55
1318,B016JB0KGM
157,6301005783
1253,B00KA0VEGO
328,6303651917
956,B00009AV85
652,6305732329
16,0767826728
95,0792842162
139,6300214192
776,B000038IFO
1181,B008ZD4Q9U
1305,B0118S73VG
615,6305499365
583,6305300550
1098,B0021BSOHM
752,B00000JZHG
88,0792166736
689,6305892946
942,B00007ELF1
307,6303494080
218,6302650046
1243,B00IMHSXDE
22,0780606957
691,6305897786
1128,B00404ME0Q
223,6302720419
133,6300184269
444,6304279000
325,6303646417
1179,B008C0C1Y8
868,B000053V7A
224,630272256X
1182,B0093KZDVO
829,B00004T8WW
217,6302641764
1247,B00JJOY4GY
96,0792843991
1002,B000A8JA8K
1343,B01GU82O9U
284,6303354939
1093,B001QMCJ0K
943,B00007ELFE
451,6304298315
978,B0006210ZG
27,0780623223
1148,B0053TWVK0
365,6303954197
98,0792844033
146,6300216047
1020,B000EOTVDY
784,B00003CXGR
208,6302289009
975,B0002KPHWE
785,B00003CXH1
136,6300214117
771,B000035P6F
484,6304457391
132,6300183459
496,6304601905
594,6305416192
255,6303102239
1193,B00AQ6J5JU
20,0780022319
457,6304345062
183,6301933532
412,6304113404
160,630120798X
720,B000006FKX
178,630179799X
886,B000059PP7
1341,B01G24WKRI
1072,B0018QPPXW
40,0783227922
1292,B00W6OFHOC
488,630450392X
340,6303854508
437,6304232764
1258,B00L3ZB4F6
338,6303832571
205,6302272602
694,6305942331
89,0792171306
394,6304039174
1287,B00USBLX8Y
288,6303383238
767,B00002ND79
565,630522207X
1220,B00E1HIXBG
189,6301973461
342,6303890423
557,6305168822
285,6303355005
305,6303486738
813,B00003OSSN
276,6303315305
259,6303152759
1129,B0043X1FKY
376,6303998046
181,6301914090
184,6301942728
9,0767811704
1235,B00GRA7M2G
1328,B01BPQG3C6
240,6303011969
101,0793961009
70,0790737647
272,6303269869
1209,B00C6F60QA
653,6305736685
138,6300214184
1302,B010GJM7JG
560,6305181179
392,6304035187
867,B000053GYD
876,B000056BSE
268,6303213650
260,6303155030
902,B00005JMAY
721,B000006GFE
213,6302459702
258,6303146074
423,6304167660
1111,B002L5GQMI
538,6305012814
818,B00004CX4O
363,6303949436
409,6304107641
631,6305600988
1087,B001GUYAZY
1095,B001TUZGPO
781,B00003CX9I
1180,B008UTV4VM
1203,B00BTYXNRI
1236,B00H7T56IS
1030,B000HEWEUS
1130,B00448JWBC
1310,B011RO8B30
1295,B00XKENZP0
980,B000676S8U
644,6305678715
809,B00003CXP9
919,B00005V1WQ
1214,B00DC5K1FO
176,6301782666
954,B000096IBH
955,B000096IBI
129,6300181545
359,630393546X
1213,B00CUKTGSA
476,6304429703
989,B0007XFZYQ
1283,B00SC8KTHG
147,6300216241
1164,B006X64S7Q
225,6302725542
709,6306010513
554,6305132143
1168,B00792DZ2W
917,B00005PJ8O
1229,B00F98FOI6
21,0780022386
460,6304359721
1254,B00KE3B9US
1322,B018QRGNK4
974,B0002A0JMM
10,0767817486
1186,B00AB2NX1K
126,6300147355
1031,B000HT3PGK
907,B00005K3NW
1040,B000L2127W
827,B00004SPFR
439,6304239351
396,6304039530
1201,B00BNV9WCW
1078,B001BSBBKI
515,6304718764
546,6305081832
1230,B00FYPEEFS
1047,B000O176OS
806,B00003CXN1
8,0767808673
714,6306012400
470,630440283X
966,B0001BFDK0
571,6305240671
841,B00004W22A
86,0792160347
1331,B01DJT73IA
73,0790740451
805,B00003CXMY
442,6304267835
1086,B001GS7AZS
878,B000056HP2
1139,B004SIP6E0
563,6305203725
643,630567681X
174,6301704754
0,0764003828
275,6303313329
490,630451493X
185,6301963725
758,B0000203Y5
1297,B00Z9HSFY2
499,6304611641
45,0783230486
1120,B0031DDG9A
724,B00000F7AE
1188,B00AEJQA4W
352,6303925243
1298,B00ZJYJCWY
731,B00000IBMD
1014,B000E1YW2C
12,0767819519
1077,B001BSBBGW
1015,B000E1ZK5A
755,B00001TZ5Z
304,6303471579
1210,B00COHGPGK
517,6304744404
1284,B00T6SZNOA
506,6304680694
386,630401709X
830,B00004TJFJ
822,B00004RERO
1227,B00EM3NOF4
414,6304136242
817,B00004CT8J
1157,B005LAIIAI
558,6305171769
544,6305076731
1215,B00DCCZO2W
1301,B010GJM76Y
203,6302256690
616,6305499446
564,6305210101
1223,B00E6F148M
380,630401144X
377,630400463X
1216,B00DNF1RM4
708,6306005153
230,6302767741
1239,B00HVJZ576
489,6304509405
519,6304798458
1012,B000CEXG00
383,630401614X
922,B0000633R4
967,B0001F33GW
293,6303413293
743,B00000JGOJ
893,B00005B1VQ
935,B00006JMRD
1200,B00BLN4V6E
277,630333458X
369,630397788X
516,630473784X
29,0780630866
140,6300214311
1187,B00AEFY2WI
468,6304401248
1274,B00OGT2UFE
1166,B0074JOCMC
64,0790732521
1161,B0068MNNS0
541,630505116X
1100,B0026IQTRW
695,6305944253
188,6301969774
364,6303954138
372,6303990452
467,630440123X
251,6303057942
273,6303292860
1169,B0079J28NW
951,B00008L3S9
295,630341964X
1238,B00HI9QGHW
379,6304008716
1270,B00O2MRX6G
279,6303337120
608,6305451613
578,6305265682
791,B00003CXIY
367,6303965792
227,6302728657
543,6305074216
287,6303359574
474,6304419708
481,6304455984
567,6305238065
150,6300218031
173,6301689984
778,B00003CWSR
1001,B000A3XY5A
465,630438100X
1174,B007PXYWBI
11,0767819454
545,6305077509
986,B0007P0XA0
999,B000A2WDVW
1221,B00E3QJ89Q
322,6303637493
1204,B00BX8A8UK
221,6302681774
191,630200912X
1267,B00NMUCL1G
401,6304078145
531,6304961693
229,6302763193
356,6303933661
248,6303042449
1303,B010GJM8EA
237,6302987857
309,6303507689
310,630350986X
577,6305261490
525,6304879474
478,6304431848
104,0800177029
1160,B005YFGIZM
853,B00004Y633
1116,B002U6DVPI
877,B000056BSJ
1237,B00H91LVVU
1034,B000JCE3MA
887,B00005A8S9
1332,B01DKTCAOQ
800,B00003CXLD
600,6305428247
848,B00004XPPF
524,6304852428
486,6304493053
1118,B002ZG98L4
1228,B00F8ONHNU
703,6305958181
1323,B018WQBMZA
1109,B002ED6UZ0
321,6303620256
658,630576333X
151,6300247597
110,1562020226
228,6302757096
233,6302842263
1061,B0013D8LNG
335,6303820905
357,6303934315
520,6304798466
797,B00003CXKS
1126,B003ZGJM96
750,B00000JRWE
803,B00003CXMO
697,6305949662
1009,B000BYY0UG
79,0790751445
788,B00003CXIA
672,6305812241
1127,B00400M3ZQ
1185,B009RWRINE
1178,B0089BSMB6
521,6304806450
47,0783235674
552,6305128952
1199,B00BDZV8G6
360,6303937160
148,6300216748
263,630318457X
1325,B01ABD498Y
857,B00004Z1FX
466,6304393075
1320,B017HP18WO
850,B00004XPPK
419,6304153554
1112,B002M0HOV4
358,6303935125
940,B0000714BS
1067,B001662FIW
1007,B000BBOUC2
1225,B00E98G2SS
18,0767837398
622,630555255X
1063,B0013LRKSK
99,0792846133
604,6305428336
399,6304078080
1335,B01ERZG22I
836,B00004UB6S
388,6304022166
1222,B00E5PHTR8
591,6305388539
39,0783227892
1183,B00979KQFE
445,6304285353
454,6304311885
244,6303036813
446,6304285388
984,B0007A3EIS
958,B00009WVSM
301,6303450849
329,6303675220
281,6303344224
385,6304017049
406,6304101147
397,6304048017
289,6303383289
648,6305714886
947,B000089795
395,6304039212
76,0790744813
4,0767800745
1025,B000FOQ1GI
1003,B000ADWDEI
345,6303908551
93,0792841409
900,B00005JLPK
48,0783240473
1336,B01F44MSHE
865,B0000524E5
798,B00003CXL4
387,6304021577
663,6305782261
475,6304422342
390,6304029977
113,1567301789
71,0790739313
1082,B001EDGKWE
1291,B00W3W2TC0
424,6304167725
242,6303022928
1257,B00KW3A6EU
84,0792154436
678,6305831661
503,6304676956
618,6305515042
840,B00004VVO7
704,6305963088
799,B00003CXL6
211,6302426200
909,B00005MM61
991,B0007YUVWQ
512,6304707029
963,B00015YVR2
1251,B00JU94ZPS
100,079396041X
1154,B005KR6O1C
452,6304308469
134,6300185206
128,6300181510
633,630560939X
1136,B004IFYMWK
1117,B002ZG97M4
219,6302655897
574,6305248893
710,6306010971
794,B00003CXJ9
1224,B00E8G5HQE
1226,B00EFJFUVG
1036,B000K2UGXO
1175,B007XJ5DQ2
705,6305976384
501,6304675151
569,6305240035
914,B00005NKSU
1296,B00XZCIENK
824,B00004RM2X
780,B00003CX8A
210,6302413729
350,6303917410
707,6305976449
933,B00006G8JZ
332,6303686850
1212,B00CUDD0LG
44,0783230427
1306,B011ECWT3I
1260,B00LBFFR2Y
302,6303454585
269,6303257275
1289,B00V0CLXCQ
777,B0000399W9
744,B00000JLWR
1273,B00OAIHJ0C
92,0792840119
91,0792836685
1062,B0013D8LWC
701,6305958076
180,6301805615
768,B00002SSKU
854,B00004Y6BM
927,B00006675R
762,B00002E22E
130,6300182517
154,630027151X
1083,B001EOQCL2
736,B00000ICUO
536,6304993722
1028,B000H6SXVU
928,B000066S1L
1277,B00PGTN836
298,6303430562
311,6303521398
875,B000056BOW
123,157362554X
872,B0000541W8
196,6302136261
209,6302353750
120,157362389X
492,6304556845
94,0792841905
448,6304293437
934,B00006JDVT
530,6304938748
375,6303995780
407,6304104286
480,6304442467
655,630575991X
436,6304218893
314,6303567126
588,6305362688
312,6303534465
641,6305674086
1027,B000GG4RMU
373,6303995705
1285,B00TB9ZXU8
485,6304484054
528,6304938225
832,B00004TX5O
842,B00004W4GV
292,6303407196
337,6303832563
852,B00004Y3WH
579,630529285X
676,6305824584
109,1559409002
232,6302800897
621,6305537801
879,B000056N30
1022,B000F48DCS
68,0790734737
1151,B005GTMSQY
493,6304578474
838,B00004UEDZ
253,6303092306
182,6301932838
994,B0009FU0ZG
344,6303908225
163,6301327977
461,6304368801
296,6303421016
988,B0007WQGRC
511,6304707002
675,6305816689
898,B00005IC54
725,B00000FYPB
811,B00003L9CF
713,630601232X
487,6304503873
283,6303354734
861,B00004ZDFL
869,B000053V7C
459,6304354738
518,6304773307
1115,B002U4F5W2
945,B00007G1V9
1038,B000K7UBVG
860,B00004Z4WS
1138,B004O8OLNQ
349,6303916880
904,B00005JNT2
510,6304698305
265,6303196543
339,630383261X
291,6303398243
737,B00000ICUW
14,0767821807
315,6303574203
1035,B000K0YM0O
751,B00000JYWZ
331,6303683568
1259,B00L9S1VZK
105,0800198840
391,630403220X
41,0783228686
215,6302544289
463,6304375239
657,6305763305
97,0792844025
923,B00006472N
614,6305498903
166,6301432827
782,B00003CXD7
197,6302150647
164,6301374290
161,6301229096
1046,B000NEHLP0
895,B00005B6KZ
1150,B0057O6ILY
1271,B00O4UN5YK
1321,B018GWWD2G
1073,B0019SYV0W
723,B00000F3CD
137,6300214133
353,6303926746
1286,B00TRAO7UI
960,B0000DZ3BL
897,B00005IA7Z
226,6302725623
770,B000034DDU
1218,B00DVD5TMW
698,6305949743
576,6305260621
772,B000035P98
462,6304372396
1324,B019PHHVSW
1326,B01AFGSSWU
405,6304100094
835,B00004UB6Q
1275,B00P69WUEE
527,6304925158
745,B00000JMOE
1311,B011VQNXGE
825,B00004RYDB
642,6305674108
623,6305564426
297,6303422136
192,630203082X
950,B00008G8WJ
775,B000038I11
1234,B00GPPXNLC
874,B000055WI9
1123,B003Q7B7BU
514,6304707622
1315,B014GDAVLE
266,6303202225
1041,B000LC5B7O
427,6304178379
728,B00000I1LN
833,B00004U1F9
1249,B00JKTFQWE
702,6305958092
662,6305770182
250,6303046959
1094,B001TK80CU
428,6304192290
729,B00000IBKY
324,6303637639
856,B00004YA1G
131,630018286X
688,6305874948
245,6303038859
411,630411222X
669,630581001X
920,B00005Y728
808,B00003CXO3
1339,B01F8505J2
1017,B000E3K364
774,B000038I0Y
973,B00023P4PQ
469,6304401256
1250,B00JQHOIII
156,6300271668
333,6303686877
368,6303968945
550,6305124345
716,B000005XXD
1135,B004HIGCT4
983,B00077BPF0
1342,B01GA4ILCS
1252,B00K0TWVFI
313,6303540104
187,6301966848
741,B00000IREH
685,6305868913
628,630557717X
866,B0000524EB
198,6302180155
1092,B001OSWOCO
434,6304216254
535,6304982275
891,B00005ASPE
354,6303929583
926,B00006673L
1263,B00M3IVDEY
1248,B00JK1W1IO
1202,B00BSTVK9W
638,6305649103
1290,B00VX2205W
1327,B01BDQOZLY
913,B00005NKSP
200,630223218X
921,B00005YUND
1071,B0018C23OK
371,6303985394
194,6302038340
143,6300214672
505,6304680465
280,6303341888
193,6302037255
547,6305082448
816,B00003XAMS
1158,B005P2BLC4
19,0767839277
995,B0009J93V4
1091,B001MYIQJU
820,B00004KDER
162,6301233166
645,6305680175
1141,B004VQRCFK
1195,B00AYRIUGK
46,0783235410
905,B00005JXYP
316,6303579345
686,6305874867
671,6305811725
1032,B000ICL3M4
964,B0001687A8
433,6304202741
195,6302041147
13,0767821610
300,6303444075
482,6304456018
551,6305127654
823,B00004RF89
732,B00000IBPE
912,B00005N7Z0
1176,B0081FSMQU
471,6304414129
410,6304111762
534,6304981848
681,6305837406
320,6303620000
537,6305003777
717,B0000065MQ
1294,B00X3DC6OE
844,B00004X13S
234,6302873150
1334,B01EG1R92A
1052,B000SIWHAU
650,6305729212
28,0780627822
812,B00003M5I2
1122,B003BWQDPU
207,630228175X
609,6305459452
290,6303396704
581,6305297223
348,6303914985
976,B0002T8FWO
1,0764004581
593,6305412820
421,6304165064
32,0783210973
378,630400592X
572,630524068X
450,6304298293
112,1567301703
522,6304843267
870,B000053V7I
204,6302271991
422,6304166206
513,6304707541
491,6304539444
361,6303948049
1246,B00J2PQZSK
398,6304054777
559,6305173990
763,B00002EQ0H
561,6305191875
542,6305063486
111,1562021907
706,6305976422
1039,B000KLQUT4
846,B00004XOO0
418,6304143214
680,6305837104
944,B00007G1TL
894,B00005B6KL
668,6305807892
341,6303861733
613,6305477728
726,B00000FYSU
1131,B004A8ZX4G
834,B00004U29E
915,B00005NTN3
1058,B0011UKORM
885,B000059HA6
1125,B003V6L8U6
673,6305814724
883,B000058TIB
948,B00008979D
3,0767800311
1208,B00C6704G0
107,097013830X
1008,B000BLI5QO
1059,B0011V7PQY
381,6304011458
317,6303586112
692,6305907870
1019,B000EMI6J6
1060,B00125WAV4
683,6305847045
1244,B00IU7UHSU
855,B00004Y7FB
121,1573624160
753,B00000K13T
1217,B00DPMFE6U
592,6305400660
540,6305051089
765,B00002JWYI
972,B00023GG94
155,6300271579
1317,B015I1461E
828,B00004STH1
911,B00005N5QZ
326,6303646743
682,6305841934
632,6305609276
119,157347049X
30,0783111509
1211,B00CSW08XM
747,B00000JMP0
1011,B000CEV3K0
429,6304197314
438,6304234635
420,6304153694
206,6302281725
1049,B000OU082G
417,6304142889
759,B0000214FG
1173,B007PXYVMI
640,6305663068
1233,B00GOVRVTM
667,630580785X
1069,B00175VSBM
659,6305765669
416,6304142854
116,1572526564
607,6305447187
443,6304270798
362,6303948871
1106,B002E01LPC
286,6303358381
425,6304167970
247,6303042260
504,6304680104
957,B00009VTX4
730,B00000IBLO
1312,B012G7IWYA
1256,B00KTJ0PU2
495,6304580878
1023,B000FFJYL6
624,6305564450
106,0964278928
931,B00006FDBO
1121,B0039WGU82
202,6302247268
179,6301802373
896,B00005BCP5
117,1572528060
532,6304965680
355,6303929591
1171,B007IV4ODS
666,6305807671
693,630592273X
863,B000051S5P
402,6304079907
1189,B00AIA86OY
735,B00000ICK1
1097,B001UJUGZO
746,B00000JMOO
756,B00001W9G9
1177,B0084BM7NK
477,6304429746
216,6302587204
1074,B001A7GOG6
684,6305867674
606,6305433887
981,B00067AVLU
660,6305765723
118,1573306932
646,630568393X
929,B000067D1S
1314,B014DMSM9Q
864,B000051TVN
674,6305815178
727,B00000G3AX
549,6305120013
441,630426710X
548,6305087393
252,6303060048
431,6304200544
938,B00006RCN8
970,B00020VZUM
629,6305582734
815,B00003UC8T
946,B00007M5KF
884,B000059H8N
888,B00005AFST
739,B00000INVJ
1089,B001HN697M
580,6305293007
573,6305242186
502,6304676107
679,6305836620
274,6303294103
810,B00003ETIU
610,6305460167
1107,B002E01LQ6
965,B00019331I
661,6305768374
1005,B000B5XP2O
159,630113284X
1084,B001F08D9O
584,6305306141
1269,B00NX18WG2
749,B00000JNBX
278,6303336884
124,1578482739
665,6305807655
