item_index,asin,title,image_url
654,630574999X,"Sixth Sense, The (1999)","https://m.media-amazon.com/images/M/MV5BZWQ2OTY0M2UtMTQxNC00MmIzLTllNDQtNDQ0MTQyYzI2M2ZiXkEyXkFqcGc@._V1_QL75_UY281_CR0,0,190,281_.jpg"
1134,B004EPYZXK,Apollo 13 (1995),https://m.media-amazon.com/images/M/MV5BMGZmNGY1OTAtNjFkYS00MjcyLWFlZjUtYzEyMDllZGZhMzM3XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
175,6301773551,Star Wars: Episode IV - A New Hope (1977),https://m.media-amazon.com/images/M/MV5BOGUwMDk0Y2MtNjBlNi00NmRiLTk2MWYtMGMyMDlhYmI4ZDBjXkEyXkFqcGc@._V1_.jpg
53,0788812262,Mary Poppins (1964),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQHACMrlsYCSp6kbUgrsg5fLEUoVh61e67now&s
34,0783225857,To Kill a Mockingbird (1962),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS66i6hTBkniGtDdwxyi4hA3PFm2mJ0GUIDxw&s
996,B0009KQPAK,"Secret Garden, The (1993)",https://m.media-amazon.com/images/M/MV5BNjgyMGI3OTQtYWFjOS00OGNkLTg4NTktMDI4ZWMwODk5ODU5XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
1159,B005S9ELM6,Fargo (1996),"https://m.media-amazon.com/images/M/MV5BNjg4MWE0MjEtODFhNy00MjA5LTg5ODktMzgwNWFmZTAwNjBlXkEyXkFqcGc@._V1_QL75_UY281_CR0,0,190,281_.jpg"
1101,B0026ZQJT8,"Verdict, The (1982)",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQcp6rKduIs1wxvgjub9ADeO0LUdn3664nDbw&s
456,6304342470,Courage Under Fire (1996),https://m.media-amazon.com/images/M/MV5BZTU2MGZmZjAtOWVjNy00NTlkLTg0ZTUtN2Q3NmUxNTNhNGVhXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
222,6302685141,Rebel Without a Cause (1955),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4aOKOuvvn7lfQ3sOS9K-CVjE70KCld8dWUw&s
1156,B005LAII3U,Total Recall (1990),https://images-na.ssl-images-amazon.com/images/I/41OFjcZ6KmL.jpg
982,B00076SCPW,Star Wars: Episode VI - Return of the Jedi (1983),https://images-na.ssl-images-amazon.com/images/I/51MQv%2B8I-rL.jpg
1313,B014AGF6RG,GoodFellas (1990),https://m.media-amazon.com/images/M/MV5BN2E5NzI2ZGMtY2VjNi00YTRjLWI1MDUtZGY5OWU1MWJjZjRjXkEyXkFqcGc@._V1_.jpg
235,6302921384,Cliffhanger (1993),https://m.media-amazon.com/images/M/MV5BNGJkZmZlYTYtODQ1ZC00N2JiLWIxMWYtZTE4ZDMxZjQyZTAzXkEyXkFqcGc@._V1_.jpg
566,6305230226,Snake Eyes (1998),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRxMl-0cu2_ZGxt-frM6h8VOEux0jYb9JbO8w&s
1288,B00UUOVPMS,"Fisher King, The (1991)",https://m.media-amazon.com/images/M/MV5BZTg2OGU4MmMtZThkZi00YjJjLTkwMjItMDMwYWE4NTA3NzRlXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
1079,B001CR49HA,Mister Roberts (1955),https://m.media-amazon.com/images/M/MV5BYzYyNTU2NDUtOGMyZi00N2Q1LTk4N2QtN2ZkNWIyZTkxMzRkXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
238,6302994063,Strictly Ballroom (1992),https://m.media-amazon.com/images/M/MV5BMTg2NDA2ODQ1MV5BMl5BanBnXkFtZTcwNDEyMDcxMw@@._V1_.jpg
5,076780192X,Close Encounters of the Third Kind (1977),"https://m.media-amazon.com/images/M/MV5BMjM1NjE5NjQxN15BMl5BanBnXkFtZTgwMjYzMzQxMDE@._V1_QL75_UX190_CR0,0,190,281_.jpg"
523,6304844948,Alien: Resurrection (1997),https://m.media-amazon.com/images/M/MV5BNDMyNmU5ZGQtNzhiZi00NjRjLTk3NGUtMmQ5YWU4ODlkNTBhXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
241,6303012140,Demolition Man (1993),https://m.media-amazon.com/images/M/MV5BNWY3ZThmN2QtMzVkNS00MjczLTllNDQtOGEwN2M0ZTFkMWMzXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
144,6300214680,Children of a Lesser God (1986),https://m.media-amazon.com/images/M/MV5BMTIxNjQ2NTA3N15BMl5BanBnXkFtZTYwNzM4OTA5._V1_.jpg
1000,B000A2WP7O,"Last of the Mohicans, The (1992)",https://m.media-amazon.com/images/M/MV5BODAxNTAxMDItMzkwZS00ZTEyLWJlZmMtYTc0MGI1NDdkNWZkXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
500,6304612982,Prefontaine (1997),https://m.media-amazon.com/images/M/MV5BMTk2MzE0NjQ0Nl5BMl5BanBnXkFtZTcwMzUxMjkxMQ@@._V1_FMjpg_UX1000_.jpg
318,6303599109,Doctor Zhivago (1965),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1EZII_hU7MXiv5MbuPGgI2R-3ImWNUGoxIw&s
575,6305252599,Star Trek VI: The Undiscovered Country (1991),https://m.media-amazon.com/images/M/MV5BNDgzYjM5MWQtYTkzNy00OWZlLWEzMDctYjA5MDUyNmJhZjM5XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
598,6305428115,Enemy of the State (1998),https://m.media-amazon.com/images/M/MV5BOWVhZmRiODktNzM0Zi00YmVlLWI3MGQtY2M0NmYzN2Q4Yzg4XkEyXkFqcGc@._V1_.jpg
498,6304610394,"Thin Red Line, The (1998)",https://m.media-amazon.com/images/M/MV5BMzQ5NmViMDUtMjI1NC00ZWJkLTkwNzctMmIxZWY2MzQyZDc2XkEyXkFqcGc@._V1_.jpg
1281,B00Q3F0ITO,Dances with Wolves (1990),https://m.media-amazon.com/images/M/MV5BMTY3OTI5NDczN15BMl5BanBnXkFtZTcwNDA0NDY3Mw@@._V1_FMjpg_UX1000_.jpg
1018,B000E5KJDE,Twister (1996),https://m.media-amazon.com/images/M/MV5BNGVhY2JjYzgtYjAyOC00ODg0LTliYWEtMzliZWYzMjA2NjYyXkEyXkFqcGc@._V1_.jpg
1044,B000MGB6N2,"Silence of the Lambs, The (1991)",https://m.media-amazon.com/images/M/MV5BNDdhOGJhYzctYzYwZC00YmI2LWI0MjctYjg4ODdlMDExYjBlXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
738,B00000ILEA,Waking Ned Devine (1998),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTg6nhSmgOsKdTEBC7shb0JJa-BDiEyinhc2g&s
611,6305470448,Shakespeare in Love (1998),"https://m.media-amazon.com/images/M/MV5BYmM3MTllNzYtN2MzNS00NWQwLTk0NTEtNjY1MmMwYjNkNTE5XkEyXkFqcGc@._V1_QL75_UY281_CR4,0,190,281_.jpg"
1042,B000LW7N6G,Serpico (1973),https://m.media-amazon.com/images/M/MV5BMTc2MDA1Nzg5N15BMl5BanBnXkFtZTYwNjE1Mzk4._V1_.jpg
201,6302238331,"French Connection, The (1971)",https://m.media-amazon.com/images/M/MV5BZDAyZDU3OWUtNWQ3Zi00ZWRkLWI4MGEtNDFlZWIzZDk5ZTZkXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
51,0784011648,On Golden Pond (1981),https://m.media-amazon.com/images/M/MV5BZmI3OGQ0YjQtZjNkYi00NmEzLWE5NjMtMTdkYjA4YTdiYzBiXkEyXkFqcGc@._V1_.jpg
336,6303824382,Die Hard: With a Vengeance (1995),https://m.media-amazon.com/images/M/MV5BYjkzNzdkMTctNzMwMS00M2Q0LWIyOTMtNmM2NDY5NWZjNTJlXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
1064,B0013N7FZ6,Gone with the Wind (1939),https://m.media-amazon.com/images/M/MV5BYmYxZTE3YzMtYmE2Yy00NmFlLTkzYTAtYTAzN2IzNDFkN2E0XkEyXkFqcGc@._V1_.jpg
37,0783226993,"Getaway, The (1994)",https://m.media-amazon.com/images/M/MV5BNTE3NjE3M2ItMGQ5ZC00M2U0LTg3NmEtODU0YmUxNTc0OTI1XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
1242,B00IF8Q8XC,Mr. Jones (1993),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ78AO2pqd8yUGsH8CHLVik0I-kV7ybU7Bl2A&s
1113,B002M9FXVS,Spartacus (1960),https://m.media-amazon.com/images/M/MV5BMTcyOThhYzktMTYyMi00NDU5LWExZWMtOWUzNGJiZGFlMWQwXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
651,6305730997,Indochine (1992),https://m.media-amazon.com/images/M/MV5BMTM1MTkzNzA3NF5BMl5BanBnXkFtZTYwNTI2MzU5._V1_.jpg
1232,B00G4SHX6G,"Shawshank Redemption, The (1994)",https://m.media-amazon.com/images/M/MV5BMDAyY2FhYjctNDc5OS00MDNlLThiMGUtY2UxYWVkNGY2ZjljXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
36,078322687X,"Breakfast Club, The (1985)",https://m.media-amazon.com/images/M/MV5BZTZiMGU1MWMtNjk0Yi00ZjNjLTljMDEtMDhkNGE2OWY3YzZiXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
969,B0001PKFLS,"Man with the Golden Arm, The (1955)",https://m.media-amazon.com/images/M/MV5BNDE0OGM3ZWQtN2JhYi00NjYxLTg4MzQtMTA5ZWNkMmVjMWE3XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
1268,B00NW0OLZ0,Forrest Gump (1994),https://m.media-amazon.com/images/M/MV5BNDYwNzVjMTItZmU5YS00YjQ5LTljYjgtMjY2NDVmYWMyNWFmXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
882,B0000584ZH,Nurse Betty (2000),"https://m.media-amazon.com/images/M/MV5BNmUwNWEwODEtOGYwNi00YzE4LTk3NjMtMGFjZDliMTliNmM4XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg"
539,6305034397,"Graduate, The (1967)",https://m.media-amazon.com/images/M/MV5BMTQ0ODc4MDk4Nl5BMl5BanBnXkFtZTcwMTEzNzgzNA@@._V1_FMjpg_UX1000_.jpg
837,B00004UEDQ,28 Days (2000),https://m.media-amazon.com/images/M/MV5BOTA3NmQ4YzMtMWZiNC00MzYyLWExMTctZmIxZDE4ZjU0ODM5XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
586,6305310351,"Golden Child, The (1986)",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZSHgA_MDK2kOP35JzXcwvuWChV4eOvO_LhQ&s
664,630580706X,Being John Malkovich (1999),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNKVu4-48L3nGA6TKq2qiV7zCiSgYdudDtWg&s
1065,B0014C2FX8,Indiana Jones and the Last Crusade (1989),https://m.media-amazon.com/images/M/MV5BNGIxNzQ0YzYtMjNmYi00YjBlLWFjNzEtNGE3ZGFmYTczM2MwXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
1163,B006WK4YB8,Dragonheart (1996),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR6Yw1Yx0pKM-a_H48n6O0c9UhX0KOXJsN4jA&s
1155,B005LAIHQS,Men in Black (1997),https://m.media-amazon.com/images/M/MV5BZmQ0YTdhYzEtMjIxZC00MGFiLTlmNjktZmFlOWE2M2QxOTRhXkEyXkFqcGc@._V1_.jpg
458,6304353634,"Ghost and the Darkness, The (1996)",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSOzN6r4i6k09CRC4le_6YIIs5kg3NW4B90Ng&s
1196,B00B1HHL94,Butch Cassidy and the Sundance Kid (1969),https://m.media-amazon.com/images/M/MV5BZTdhNGNjNTktMzJlNy00MjdmLWFhMmUtODRiZDNhZWE1NDllXkEyXkFqcGc@._V1_.jpg
80,0790757354,Blazing Saddles (1974),https://m.media-amazon.com/images/M/MV5BNTI3Y2Y4NDgtY2I1NS00M2JmLWI5NzEtYTQwYTUwZGQxYzZlXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
85,0792157850,Indiana Jones and the Temple of Doom (1984),https://m.media-amazon.com/images/M/MV5BOGUwZjZiNWQtYzAzZi00NGI5LWE4YmUtN2Y4YWMwY2RlZDkyXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
15,0767824571,Monty Python and the Holy Grail (1974),https://m.media-amazon.com/images/M/MV5BYWY4YmUzZmUtMzQ0ZS00N2Y2LWJlODQtN2IwMDc1MWQwMmU3XkEyXkFqcGc@._V1_.jpg
1119,B002ZG98LO,Predator (1987),https://m.media-amazon.com/images/M/MV5BOWEzMDI0MTUtMjQ0Yy00MGRhLWI4YjAtZTgzZTM3NTYxZGJkXkEyXkFqcGc@._V1_.jpg
977,B0002WYTWG,"Terminator, The (1984)",https://m.media-amazon.com/images/M/MV5BZmE0YzIxM2QtMGNlMi00MjRmLWE3MWMtOWQzMGVjMmU0YTFmXkEyXkFqcGc@._V1_.jpg
57,0788832492,Who Framed Roger Rabbit? (1988),https://m.media-amazon.com/images/M/MV5BMmNhMjIzOTUtMTgxOC00ZDVmLTg2MjctY2U0MjE4MDdhZmRlXkEyXkFqcGc@._V1_.jpg
220,6302662745,Delicatessen (1991),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSE3bIy7VfIjRAuNfXqP-v2zpKv9b3KExPxrA&s
23,0780620372,Love! Valour! Compassion! (1997),https://m.media-amazon.com/images/M/MV5BMGU1NjExYWYtZDc1Zi00MWVhLWFlODEtZmI1NWE1OTk0YmVlXkEyXkFqcGc@._V1_.jpg
479,6304438192,Citizen Ruth (1996),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRxTlq9_n4icECucO5fERYbjquLbsXvNdCcKQ&s
1278,B00PMCYZ1G,Bound (1996),https://m.media-amazon.com/images/M/MV5BNjY0OWFmODctNmEwNy00Njc2LWFkYTAtNmI4OWIzY2ZkYjJlXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
625,6305570051,Mrs. Dalloway (1997),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbY19naNa94ToluwC8tAP0GWkVIDRHnbrDPw&s
529,6304938713,Four Days in September (1997),https://m.media-amazon.com/images/M/MV5BNGYwOWZiZTctODgxYS00MWE5LWJmODQtYmY0NDA5MmI4OTY4XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
899,B00005JH9F,Richard III (1995),https://m.media-amazon.com/images/M/MV5BMWZjODNlYzAtNWIxZC00ZWRkLWFlMjctZGVlMDYxZTU1MGM1XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
801,B00003CXLM,Pokémon the Movie 2000 (2000),https://m.media-amazon.com/images/M/MV5BOTE0NzY5MGUtZDdjMi00OTMyLThiYmEtOTc5NWY0NTE3NDA0XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
637,6305627401,"South Park: Bigger, Longer and Uncut (1999)",https://m.media-amazon.com/images/M/MV5BMDcyNDE4OWEtMjIzNi00OTdmLWIwMWEtNWU2ZjM4ZjA4YzNkXkEyXkFqcGc@._V1_.jpg
435,6304216939,Cold Comfort Farm (1995),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXVWqmhBhxBRg5aqce-TnPBf7VxJzT8JjcDQ&s
597,6305428093,Priest (1994),https://m.media-amazon.com/images/M/MV5BM2FlZTliMTctNjg5ZC00ZGY0LThkMjItNGMyY2MzNTkyOGYxXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
1070,B0017HRJ04,Heat (1995),https://m.media-amazon.com/images/M/MV5BMTkxYjU1OTMtYWViZC00ZjAzLWI3MDktZGQ2N2VmMjVjNDRlXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
393,6304039166,Mighty Aphrodite (1995),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRP5mFgqa0CKCGsN9xPW194V_H1U1VPUhN1yQ&s
997,B0009UZGM8,Paris Is Burning (1990),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSu1WF6k-0RyuBJuYKKVoQVeNRwyelhsruhyQ&s
862,B000050IMV,Sleepy Hollow (1999),https://m.media-amazon.com/images/M/MV5BYWIwMTIxZTQtNDZhNS00ZDZlLTg5MTEtOTNkMmNjOGUzMTA1XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
971,B00022PZ1A,Speed (1994),https://upload.wikimedia.org/wikipedia/id/4/45/Speed_movie_poster.jpg
712,6306012052,Rules of Engagement (2000),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSAnd7DrUE99fk4AaWwdeIORkG5OBOaoVq5vA&s
599,6305428220,"Faculty, The (1998)",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQwjRYSjoIa0Sb9QckAkeEUjVFhWED4qEFKEQ&s
711,6306011005,Joe Gould's Secret (2000),"https://m.media-amazon.com/images/M/MV5BMTY2OTk4MTQ1NV5BMl5BanBnXkFtZTcwNDYzNDQzMQ@@._V1_QL75_UY281_CR4,0,190,281_.jpg"
55,0788814664,Good Will Hunting (1997),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRDzzsSml8t1sE7aU1zUqOyJgFkMf0LPlmCtg&s
690,630589423X,Topsy-Turvy (1999),https://m.media-amazon.com/images/M/MV5BZTgzOGExNjItZTU0OC00ZDkxLWIxMjctYTBiODY2NGI2ZDBiXkEyXkFqcGc@._V1_.jpg
952,B00008NGDS,Wilde (1997),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRahL8lEvJjyuJHnMWFoPrH7bp0kYmkRyC2cQ&s
715,B000005QLO,Edward Scissorhands (1990),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3sJKhZDxy-JHF8vJglnVvuN9LFZeqzQVgFw&s
319,6303614353,Night on Earth (1991),https://m.media-amazon.com/images/M/MV5BYmEyYjE0NjgtNTFmMy00ZmY1LTg2MWUtYTU4MjdmYWJmYzMyXkEyXkFqcGc@._V1_.jpg
769,B00002SSKW,Twin Falls Idaho (1999),https://m.media-amazon.com/images/M/MV5BNjkzODkxN2QtOTE0Ni00ZDgxLTkxMjUtYTM2NGMyMmNhYWNhXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
1053,B000TXPXC8,Night of the Living Dead (1968),https://m.media-amazon.com/images/M/MV5BNmU1ZTM4ZjAtNmY2YS00YjU1LTgyMzgtMmNlMTI4YmMwNmY1XkEyXkFqcGc@._V1_.jpg
114,1572522178,Wild Reeds (1994),https://m.media-amazon.com/images/M/MV5BYWZhNDQ4NWQtZWVjNi00MDNiLTkyOTYtMjA1M2YyODVhNTU2XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
979,B00062IXHO,Men With Guns (1997),[https://m.media-amazon.com/images/M/MV5BZDk4YTc4ZGQtMjBlYy00ZmQ3LWJjOGQtOGU5ZjlmN2ZiZWVjXkEyXkFqcGc@._V1_.jpg
351,6303924891,Living in Oblivion (1995),https://m.media-amazon.com/images/M/MV5BMzUyMmFhMTAtM2MzNS00ODZkLWIwM2UtYTA2OTAzYzA5OWMxXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
26,0780622677,Jackie Chan's First Strike (1996),https://m.media-amazon.com/images/M/MV5BZmZhZjI1M2MtZTNmMi00ZDc2LTg2ZTgtODBjYjNmOGE0YTBhXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
562,6305191883,Henry: Portrait of a Serial Killer (1990),https://m.media-amazon.com/images/M/MV5BOGJjMzI2MmQtZTJmYS00OGI0LWE2MDktYWJmNmU0NTMxMjJkXkEyXkFqcGc@._V1_.jpg
570,6305240663,Office Killer (1997),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTG1lCNZ5BncIlcWui9RGcJCOjK4wyXpymOOA&s
212,6302450187,"Hand That Rocks the Cradle, The (1992)",https://m.media-amazon.com/images/M/MV5BMmIwOWI1MzktNGZhMy00ZTU4LThiODAtNDk1NWI2MjFjMDQ3XkEyXkFqcGc@._V1_.jpg
87,0792165039,"Talented Mr. Ripley, The (1999)",https://m.media-amazon.com/images/M/MV5BYzI2ZmU3MWMtZmRlMi00ZmVlLTkwMDMtZmI1YTg4YzcwMDE0XkEyXkFqcGc@._V1_.jpg
764,B00002EQ0I,Teaching Mrs. Tingle (1999),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRMw0EtootrjdiQIXKmu37ub1LrlxbG4Ti9OQ&s
17,0767836359,"River Runs Through It, A (1992)",https://m.media-amazon.com/images/M/MV5BNjRlYWIwNWEtZjMxYy00N2JjLWFiNzMtM2NlZDU2ZjhjMWY2XkEyXkFqcGc@._V1_.jpg
108,1558908382,Grosse Pointe Blank (1997),https://m.media-amazon.com/images/M/MV5BZDJkMWJkMTgtZjljZS00ZDNlLWE2MjEtNjQ2NzI5NDk4MTRkXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
1021,B000EQ5V04,Fight Club (1999),"https://m.media-amazon.com/images/M/MV5BOTgyOGQ1NDItNGU3Ny00MjU3LTg2YWEtNmEyYjBiMjI1Y2M5XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg"
526,6304879482,Washington Square (1997),https://m.media-amazon.com/images/M/MV5BNzY3YzVhNzEtZGI2Zi00NGVmLWE2MGQtYTA1NjRmMjMzM2UxXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
75,0790743213,North by Northwest (1959),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQhqZkKm7KPbthXs0sixsmRKFxR5s6pkHASbw&s
7,0767805712,Gattaca (1997),https://m.media-amazon.com/images/M/MV5BZjQxNTc3YzQtZDA5ZC00MmM5LWE3NGYtMGE0Yjk3MDYwODVlXkEyXkFqcGc@._V1_.jpg
33,078322561X,Babe: Pig in the City (1998),https://m.media-amazon.com/images/M/MV5BOWY0NzY1NTgtODRhMC00MWM5LTk1OGMtNGNlNTBhY2RhOTg3XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
930,B000068DBD,Jackie Brown (1997),https://m.media-amazon.com/images/M/MV5BZmUxZjY3MDktNGI5NS00MTQ5LWE0YWItZWQzNmZhNjhkZDYyXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
779,B00003CX73,Three Kings (1999),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTvSmridilhiluT56oV_FmfC9hBG6ADbz-qaw&s
1076,B001B7CNXS,End of Days (1999),https://m.media-amazon.com/images/M/MV5BODg2NmE4MTYtMzFmNS00ZWExLWE4YjktNDEwMzg1ZDBkY2JlXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
122,1573624365,Billy's Hollywood Screen Kiss (1997),https://m.media-amazon.com/images/M/MV5BZTliYWIzMjQtMTYyZS00YTU5LWI1MDUtYTM3ZTJlYTJhNjZlXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
494,6304578482,Romy and Michele's High School Reunion (1997),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJvudPZdYFPjLIERSYtj8JEgDMZyNgPaWXZg&s
346,6303909000,"Incredibly True Adventure of Two Girls in Love, The (1995)",https://m.media-amazon.com/images/M/MV5BZjMwZDg3YmQtNTNkNy00OGZiLWJlNGMtYmMzZTU4NGM4NGVjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
733,B00000IC7G,Happiness (1998),https://m.media-amazon.com/images/M/MV5BMTIwNTAxMjIyMV5BMl5BanBnXkFtZTcwMTQxOTUyMQ@@._V1_.jpg
901,B00005JLZK,Final Destination (2000),https://m.media-amazon.com/images/M/MV5BMjE1MjlmOWYtYzdjMS00OTgwLThjMDctZWU4N2FkZjgyNTJiXkEyXkFqcGc@._V1_.jpg
603,6305428298,Little Voice (1998),https://m.media-amazon.com/images/M/MV5BY2QzZmMwZjYtOGQzNi00MzMwLWFiOTQtMDE4MWJiYzA4MjU2XkEyXkFqcGc@._V1_.jpg
792,B00003CXJ1,Shanghai Noon (2000),https://m.media-amazon.com/images/M/MV5BMTI0MjE2MzUwOV5BMl5BanBnXkFtZTYwMTk5NjU3._V1_FMjpg_UX1000_.jpg
814,B00003Q42P,Rushmore (1998),https://m.media-amazon.com/images/M/MV5BZmM2MTNhYWItMDc4Yi00MTM3LWI3YTctYjE1NWRjNTczYjI5XkEyXkFqcGc@._V1_.jpg
